¦Titol¦Autor¦Autor_id¦Editorial¦Preu_soci¦Preu_Public¦Tipus_Producte¦EAN¦Ref_Abacus¦Encuadernacio¦Coleccio¦Materia¦Ruta
59¦Seis cuentos para educar en disciplina positiva¦Aavv¦A000500090¦Alfaguara¦18,00€¦18,95€¦Libro¦9788420453347¦1340560.95¦Cartoné¦¦¦Inicio \ Libros infantiles \ Literatura infantil \ A partir de 5 años
60¦Calendari Teo 2021¦Denou, Violeta¦A000035524¦Timun Mas - cat¦12,30€¦12,95€¦Libro¦9788418135477¦1339846.39¦¦¦¦Inicio \ Libros infantiles \ Varios \ Varios
61¦Us vull explicar una cosa¦Galán, Bea¦4000693362¦Columna Edicions¦12,25€¦12,90€¦Libro¦9788466427173¦1339298.54¦Rústico¦No ficció¦¦Inicio \ Libros \ Libros de Ciencia y Conocimiento \ Pedagogía y psicología
62¦Compendio de Derecho Internacional Público¦Casanovas, Oriol¦A000551411¦Tecnos¦36,86€¦38,80€¦ Libro¦9788430979837¦1342709.72¦Rústico¦Biblioteca universitaria¦¦Inicio \ Libros \ Libros de Economía, Empresa y Derecho \ Derecho
63¦Gramática de la fantasía¦Rodari, Gianni¦A000155941¦Kalandraka¦14,25€¦15,00€¦Libro¦9788413430133¦1342387.30¦¦¦¦Inicio \ Libros \ Libros de Ciencia y Conocimiento \ Pedagogía y psicología
64¦Vida secreta de los virus La¦Aavv¦A000500090¦Zahorí Ideas¦14,20€¦14,95€¦Libro¦9788417374716¦1342491.01¦¦¦¦Inicio \ Libros infantiles \ Libros para aprender \ Medio natural
65¦Código Penal y Ley Penal del Menor 29ed.¦Álvarez García, Francisco¦A000006875¦Tirant lo blanch¦6,55€¦6,90€¦Libro¦9788413555256¦1342667.92¦¦¦¦Inicio \ Libros \ Libros de Economía, Empresa y Derecho \ Derecho
66¦Troubled blood¦Galbraith, Robert¦4000654269¦Little Brown & Co.¦19,90€¦20,95€¦Libro¦9780751579949¦1343282.31¦¦¦¦Inicio \ Libros
67¦A veces mamá tiene truenos en la cabeza¦Taboada, Beatriz¦4000693466¦Algar¦15,12€¦15,92€¦Libro¦9788491424260¦1340151.52¦¦Álbumes ilustrados¦¦Inicio \ Libros infantiles \ Literatura infantil \ A partir de 5 años
68¦Calendari 2021 LaGalera¦Calafell, Roser¦4000654850¦La Galera¦12,30€¦12,95€¦Libro¦ 9788424667955¦1339000.24¦Rústico¦¦¦Inicio \ Libros infantiles \ Varios \ Varios
69¦Supercerdo¦Copons, Jaume¦A000517312¦Combel¦12,25€¦12,90€¦Libro¦9788491016397¦1342169.20¦Cartoné¦¦¦Inicio \ Libros infantiles \ Literatura infantil \ A partir de 5 años
70¦La sexta trampa¦Barker, J.D.¦4000679998¦Destino¦19,85€¦20,90€¦Libro¦9788423357628¦1331941.34¦Rústico¦Áncora y Delfin¦¦Inicio \ Libros \ Libros de Narrativa y Novelas
71¦Minipedia¦Arrhenius, Ingela P.¦4000662505¦Combel¦23,65€¦24,90€¦Libro¦9788491016076¦1342126.81¦¦¦¦Inicio \ Libros infantiles \ Literatura infantil \ Hasta 3 años
72¦AIR La historia de Michael Jordan¦Halberstam, David¦A000630330¦Duomo¦18,81€¦19,80€¦Libro¦9788418128578¦1341626.69¦¦Nefelibata¦¦Inicio \ Libros \ Libros de Ciencia y Conocimiento \ Ciencias sociales y humanas
73¦La història de Barcelona en 10 passejades¦Grau Masbernat, Jaume¦4000693548¦Rosa dels Vents¦19,85€¦20,90€¦Libro¦9788417909857¦1340629.64¦Rústico¦¦¦Inicio \ Libros \ Libros de Ciencia y Conocimiento \ Ciencias sociales y humanas
74¦Kakebo Blackie Books 2021¦Aavv¦A000500090¦Blackie Books¦17,00€¦17,90€¦Libro¦9788418187179¦1341523.93¦Rústico¦¦¦Inicio \ Libros \ Libros de Economía, Empresa y Derecho \ Economía
75¦L'any que va caure la roca¦Coll, Pep¦A000045059¦Proa¦19,85€¦20,90€¦Libro¦9788475888415¦1339287.40¦¦A tot vent¦¦Inicio \ Libros \ Libros de Narrativa y Novelas
76¦Mi pasión¦Moreno, Lola¦A000638537¦B de Blok¦16,10€¦16,95€¦Libro¦9788417921200¦1340004.56¦Cartoné¦¦¦Inicio \ Libros \ Novedades en libros
77¦La era del capitalismo de la vigilancia¦Zuboff, Shoshana¦4000693514¦Paidós¦36,10€¦38,00€¦Libro¦9788449336935¦1340330.10¦¦Estado y sociedad¦¦Inicio \ Libros \ Libros de Ciencia y Conocimiento \ Ciencias sociales y humanas
78¦MikelTube 2. Mikeltube y la isla del apocalipsis final¦Mikeltube¦4000692344¦Destino¦12,30€¦12,95€¦Libro¦9788408232070¦1339067.60¦¦Youtubers infantiles¦¦Inicio \ Libros infantiles \ Literatura infantil \ A partir de 5 años
79¦Renta't les mans Mariona!¦López Ávila, Pilar¦4000692444¦Bruño¦11,35€¦11,95€¦Libro¦9788413490229¦1337447.30¦Cartoné¦Álbumes ilustrados¦¦Inicio \ Libros infantiles \ Literatura infantil \ A partir de 5 años
80¦Gran llibre dels supertresors¦Isern, Susanna¦A000646007¦Flamboyant¦17,00€¦17,90€¦Libro¦9788417749705¦1342411.08¦¦¦¦Inicio \ Libros infantiles \ Literatura infantil \ A partir de 5 años
81¦Fuertes, libres y nómadas¦Punset, Elsa¦A000625683¦Destino¦17,95€¦18,90€¦Libro¦9788423358021¦1339127.67¦¦Imago mundi¦¦Inicio \ Libros \ Libros de Ciencia y Conocimiento \ Pedagogía y psicología
82¦Con calma. 50 historias de la naturaleza¦Williams, Rachel¦A000641466¦Flamboyant¦23,65€¦24,90€¦Libro¦9788417749590¦1342404.94¦¦¦¦Inicio \ Libros infantiles \ Libros para aprender \ Medio natural
83¦Cuentos de Lucía mi pediatra 2¦Galán Bertrand, Lucía¦4000663454¦Timun Mas¦14,20€¦14,95€¦Libro¦9788408233008¦1340212.68¦¦Recopilatorios de cuentos de hoy¦¦Inicio \ Libros infantiles \ Literatura infantil \ A partir de 5 años
84¦Código Civil 25ed.¦Blasco Gascó, Francisco de Pau¦A000550671¦Tirant lo blanch¦6,55€¦6,90€¦Libro¦9788413555775¦1342662.68¦¦¦¦Inicio \ Libros \ Libros de Economía, Empresa y Derecho \ Derecho
85¦Una fuig l'altra es queda¦Ferrante, Elena¦A000544413¦Debutxaca¦9,45€¦9,95€¦Libro¦9788418132445¦1337118.09¦Rústico¦¦¦Inicio \ Libros \ Libros de Narrativa y Novelas
86¦Viu en verd!¦Aavv¦A000500090¦Mediterrània¦13,77€¦14,50€¦Libro¦9788499796659¦1344478.91¦¦¦¦Inicio \ Libros infantiles \ Literatura infantil \ A partir de 5 años
87¦Mujeres brújula en un bosque de retos¦Sánchez, Isabel¦4000693344¦Espasa¦18,90€¦19,90€¦Libro¦9788467060119¦1339194.98¦Rústico¦¦¦Inicio \ Libros \ Libros de Ciencia y Conocimiento \ Pedagogía y psicología
88¦El afán sin límite¦Jahren, Hope¦4000669628¦Paidós¦19,00€¦20,00€¦Libro¦9788449337420¦1339169.30¦Cartoné¦Contextos¦¦Inicio \ Libros \ Libros de Ciencia y Conocimiento \ Ciencias naturales
89¦Hache hax: El búnker¦Aavv¦A000500090¦Montena¦14,20€¦14,95€¦Libro¦9788418038099¦1339887.40¦Cartoné¦¦¦Inicio \ Libros infantiles \ Literatura infantil \ A partir de 5 años
90¦Els nois de la NickEl¦Whitehead, Colson¦A000513387¦Periscopi¦18,90€¦19,90€¦Libro¦9788417339463¦1341183.18¦Rústico¦¦¦Inicio \ Libros \ Libros de Narrativa y Novelas
91¦La foscor que coneixes¦Engel, Amy¦4000692898¦La Campana¦17,95€¦18,90€¦Libro¦9788416863730¦1337126.92¦Rústico¦¦¦Inicio \ Libros \ Libros de Narrativa y Novelas
92¦Viaje al sur¦Marsé, Juan¦A000508340¦Lumen¦¦¦¦¦¦¦¦¦Inicio \ Libros \ Guias de viaje
93¦Sense codi de barres¦Tormo, Ruth¦4000681785¦Fanbooks¦12,30€¦12,95€¦Libro¦9788418327070¦1339312.07¦Rústico¦¦¦Inicio \ Libros infantiles \ Literatura juvenil
94¦El quadern on per fi em puc expressar sense filtres. El meu jo¦Olivé Peñas, Cristian¦4000690585¦Larousse¦13,25€¦13,95€¦Libro¦9788418100147¦1344402.62¦Cartoné¦¦¦Inicio \ Libros \ Libros de Ciencia y Conocimiento \ Pedagogía y psicología
95¦El cuaderno donde por fin me puedo expresar sin filtros. Mi yo¦Olivé Peñas, Cristian¦4000690585¦Larousse¦13,25€¦13,95€¦Libro¦9788418100130¦1344407.81¦Cartoné¦¦¦Inicio \ Libros \ Libros de Ciencia y Conocimiento \ Pedagogía y psicología
96¦El bosc dels quatre vents¦Oruña, María¦4000661385¦Columna Edicions¦19,85€¦20,90€¦Libro¦9788466426596¦ 1339841.08¦Cartoné¦¦¦Inicio \ Libros \ Libros de Narrativa y Novelas
97¦Gran libro de los supertesoros¦Isern, Susanna¦A000646007¦Flamboyant¦17,00€¦17,90€¦Libro¦9788417749712¦1342414.43¦¦¦¦Inicio \ Libros infantiles \ Literatura infantil \ A partir de 5 años
98¦Ahora te toca ser feliz¦Cañete, Curro¦4000667080¦Planeta¦17,00€¦17,90€¦Libro¦9788408232414¦1339069.54¦Rústico¦No ficción¦¦Inicio \ Libros \ Libros de Ciencia y Conocimiento \ Pedagogía y psicología
99¦Mañana es... ¡FIESTA!¦Anguera, Mercè¦A000525665¦La Galera¦18,95€¦19,95€¦Libro¦9788424668396¦1339739.76¦Rústico¦Narrativa singular¦¦Inicio \ Libros infantiles \ Libros para aprender \ Medio social y cultural
100¦La gran caminada¦King, Stephen¦A000099270¦Males Herbes¦18,90€¦19,90€¦Libro¦9788412216721¦1343020.67¦Rústico¦Distorsions¦¦Inicio \ Libros \ Libros de Narrativa y Novelas
101¦99 tomates y 1 patata¦Chedru, Delphine¦A000633050¦Combel¦13,20€¦13,90€¦Libro¦9788491016250¦1342161.59¦Cartoné¦¦¦Inicio \ Libros infantiles \ Literatura infantil \ A partir de 5 años
102¦99 tomàquets i 1 patata¦Chedru, Delphine¦A000633050¦Combel¦13,20€¦13,90€¦Libro¦9788491016243¦1342151.08¦Cartoné¦¦¦Inicio \ Libros infantiles \ Literatura infantil \ A partir de 5 años
103¦Lobos que vinieron a cenar (cartón)¦Smallman, Steve¦A000621583¦Beascoa¦10,40€¦10,95€¦Libro¦9788448855765¦1340558.03¦¦¦¦Inicio \ Libros infantiles \ Literatura infantil \ A partir de 3 años
104¦Mossegades i queixalades¦Benegas Ortiz, María del Mar¦4000693801¦Combel¦14,15€¦14,90€¦Libro¦9788491016427¦1342164.94¦Cartoné¦Marsupiflap¦¦Inicio \ Libros infantiles \ Literatura infantil \ A partir de 3 años
105¦Corre amaga't cullereta!¦Saudo, Coralie¦4000663140¦Combel¦11,30€¦11,90€¦Libro¦9788491016182¦1342144.93¦¦¦¦Inicio \ Libros infantiles \ Literatura infantil \ Hasta 3 años
106¦Catalunya contra Castella¦Sieberer, Anton¦4000691812¦Pòrtic¦17,10€¦18,00€¦Libro¦9788498094749¦1339284.00¦Rústico¦Visions¦¦Inicio \ Libros \ Libros de Ciencia y Conocimiento \ Ciencias sociales y humanas
107¦Recuerdos y desinformación¦Carrey, Jim¦4000693333¦Temas de Hoy¦18,90€¦19,90€¦Libro¦9788499988214¦1339210.45¦Rústico¦¦¦Inicio \ Libros \ Libros de Narrativa y Novelas
108¦Un amor¦Mesa, Sara¦A000623824¦Anagrama¦17,00€¦17,90€¦ Libro¦9788433999030¦1339389.97¦Rústico¦Narrativas hispánicas¦¦Inicio \ Libros \ Libros de Narrativa y Novelas
109¦El cofre de l'amistat¦Díaz, Raquel¦4000693799¦Estrella Polar¦15,15€¦15,95€¦Libro¦9788418135651¦1342109.15¦¦Baobab¦¦Inicio \ Libros infantiles \ Libros para aprender \ Medio natural
110¦Tots els contes¦Roig, Montserrat¦A000500968¦Rosa dels Vents¦19,85€¦20,90€¦Libro¦9788417444822¦1337128.88¦Cartoné¦¦¦Inicio \ Libros \ Libros de Narrativa y Novelas
111¦A vegades la mare té el cap ple de trons¦Taboada, Beatriz¦4000693466¦Animallibres¦15,15€¦15,95€¦Libro¦9788417599850¦1340121.66¦¦Àlbums il.lustrats¦¦Inicio \ Libros infantiles \ Literatura infantil \ A partir de 5 años
112¦L'amiga genial¦Ferrante, Elena¦A000544413¦Debutxaca¦9,45€¦9,95€¦Libro¦9788418132421¦1337117.61¦Rústico¦¦¦Inicio \ Libros \ Libros de Narrativa y Novelas
113¦Llops que van venir a sopar (cartró)¦Smallman, Steve¦A000621583¦Beascoa¦10,40€¦10,95€¦Libro¦9788448855772¦1340559.49¦¦¦¦Inicio \ Libros infantiles \ Literatura infantil \ A partir de 3 años
114¦Aquí y ahora¦Ortiz, Lola¦4000680971¦Nube de Tinta¦17,05€¦17,95€¦Libro¦9788417605520¦1339997.33¦Cartoné¦¦¦Inicio \ Libros \ Novedades en libros
